XFTU	SFTU	SFRC	SFNC	SFRN
Papd5	Scamp2	Cd244	Ccdc86	Brd7
	Bcl10	Mcm4	Lrfn1	D630037F22Rik
Rfxank	Zbtb7b	Ece2	Pcnp	Cd1d1
Bcl10		Ciapin1	Trank1	Ccdc123
Gjb1	Atp5j2	Ppm1b	Aldh3a1	Tcl1b1
2210013O21Rik	Nr5a1	Mlh1	Rplp1	Acot13
Inpp5a	Rad21	Zfp329	Gm5316	1700112E06Rik
Pip4k2c	Ccne1	Morf4l1	Ints9	Ahsa1
Ibtk	Alox5ap	Ngf	Acad10	Lst1
Tat	Setd8	Zranb2	Hdlbp	Pkmyt1
Pnmt	Cox7a2l	Cox7a2l		
Idh3g	Ceacam13		Pnmt	
Sorl1	Mrps10	Trappc6b	Phka2	Lman2
Car4	Gstk1	Ppp1r3b	Gdf3	Smpd3
Rplp2	Cpsf4	Trim41	Gorasp2	4932429P05Rik
Cngb1	Smg5		Sap130	Col6a6
Nufip1		Phka2	Serf2	Tmem59
Rnf19a	Zfp467	Klc1	Car7	Grn
5730494M16Rik	BC066135	Abi3	Sqrdl	Ctcf
Calr	Srgn	Cyp4a12b	Dapp1	Tbcc
Mospd1	Sp110	Ints1		Kdm1a
Epn3	Rpl19	Srsf1	Dnajc8	Negr1
Slc22a1	Trim59	Snrpd3	Lrpap1	Becn1
Zbtb5	Robld3	Clec4g	Taf2	Pip5kl1
Dnajc12	Slc28a1	Papd5	Stx17	Adamts13
	Psmd13	Cryzl1	Mettl11a	4921530D09Rik
Rnf215	Tmem179		Chd2	Klre1
1500032L24Rik	Triobp	Wdr82	Rala	Prex1
Nfx1	Abca7		Plscr3	Col25a1
Uba7	Nova2	Lrrc2	Dusp16	Usp24
Atox1	Tmem14a	Fam173b	2900010M23Rik	Slc25a11
Csf1	Tmx2	Tuba1b	Map3k3	Ppp2r2d
Cetn2	Kpna6	Cryab	Grcc10	Pdk1
Fam113b	Atp6v1e1	Phf5a	Ralb	Ubox5
Fxn	Blmh	Ndufb7	Ruvbl2	Scube1
Eif1		Nudt21	Tdp1	Tgfbr1
Sgms1	Mtdh	Nol9	Treml1	Hmha1
Pak1ip1	Kdelr1	Pnkd	Tmem50b	Vti1b
Ssbp2	Ppp1r14c	Ralb	2810006K23Rik	
Rpl30		Sdad1	Srek1ip1	Tnp1
Ppp2cb	Hdgf	Robld3	Cirh1a	Sall2
Ruvbl2	Hadhb	Dnajc12	Hook3	Acyp1
Acot13	Rnf25	Gm749	Fxn	Mcrs1
Sept1	Psmb5	Serf2	Drp2	Senp7
Clk2	Dbnl	Lmna	1700009P17Rik	Pip5k1b
Diap2	Pip4k2c	Gstp2	Blmh	
Tprkb	Hirip3		Adrm1	Sft2d2
2310003C23Rik	Ptpn1	Atp7a	Atp6v1e1	Cyp2w1
Gpr155	Selm	Pdcd6	Eif4g1	Fetub
