TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Nxph1	Nwd2	Tial1		Vma21
Gabrg3	Scn3a	Sat1		Rhoq
Cbr1	Tomm34	Pfkfb2		Ndufv2
Sgcb	Ccdc90b	Mpv17		Brwd3
Bcas1	Ubtf	Osgin2		Csmd1
Ddx21	Ambra1	Srp68		Acvr2a
Rundc3b	Cops8	Bbip1		Ak5
Tfam	Mmadhc	Rap2b		Smyd3
Grin3a	Plekhb1	Psmd6		Gnptab
Hs6st2	Thra	Myo1b		Eif3m
Scn4b	Hmgb3	Pdcd6		Ubr1
Atp9a	Eif1b	Lrba		Dkc1
Sde2	Zcchc9	Gulp1		Rtn4rl1
Scrn3	Tuba1c	Rpgrip1l		Nop58
Ndufaf2	Dcdc2c	Nxf1		Tbx18
Sytl5	Fnbp4	Dapk1		Smarcal1
Fnip2	Kcna4	Cnih3		Ndufa9
Tmem70	Rragc	Rilpl1		Tpgs2
Sdad1	Ube4a	Slc35a4		Atl2
Gnb4	Sytl2	Taf2		Zfp329
Magee2	Txndc9	Emd		Pde8b
Ltv1	Cep19	Mpc2		Xbp1
Tmcc2	Kcnh5	Dusp14		Anapc1
Inhba	Ufl1	Ccp110		Cdc5l
Usp19	Cltb	Rif1		Metap1
Dpysl5	Rnf185	Limch1		Fat1
Map1lc3a	Atxn7	Tanc1		Rab5c
Stx3	Vps28	Gnl1		Morc2a
Dpy30	Map7	Tnks		Gprasp2
Tbrg1	Ctdnep1	Kat7		Trnp1
Phc2	Galnt13	Arrdc3		Clns1a
Rftn2	Anxa3	2900026A02Rik		Srrm4
Gm10033	Cops6	Per3		Prdx2
Chchd4	Mtcl1	Gabra4		Pik3c2a
Pcdhb17	Cyb5r4	Kdm5b		Wbp4
Ptprf	Dcx	Lrrk2		Sema6d
St6galnac5	Kif21b	Dhx57		Fbxo28
Mrpl41	Cc2d2a	Gon4l		Tmem229a
Ppfia3	Trappc9	Emc3		Dctn5
Sbf1	Vti1b	Esyt2		Actr1a
Nop10	Fhl2	Trappc10		Bcl11b
Gins4	Ppp2r5a	Rlf		Phactr3
Rmnd5b	Ppa1	Pisd-ps1		Aldh3a2
Gm15910	Numa1	Exoc2		Ubqln4
Dph5	Sult1a1	Ostf1		Isyna1
Igf2r	Adcy2	Kat2a		Mdm4
Zfp157	Tbc1d9	Gna11		Smim15
Nsl1	Pcca	Ascc3		Hsdl2
Mrpl13	Ifnar1	Slc44a1		Mdga2
Tceal6	Lrrn3	Cntnap1		Srcin1
Pcdh11x	Sh3rf3	Yap1		Timm23
Ppp2r2d	Smad1	Zfp397		Cadm1
Ccdc43	Adam12	Isca2		Tub
Fcf1	Adam10	S100a6		Rcbtb1
Prps1l3	Fndc3b	Nrsn2		Znrf1
Apc2	Zfp719	Dnajb5		Acot7
Gas2l3	Cab39l	Scaf8		Suco
Stat2	Pcyt1a	Fkbp4		Pdzd11
Rufy1	Lamp5	Sulf1		Anxa2
Grm7	Larp7	Gm3893		Syt16
Zfp605	Ahsa1	Fnip1		Zcchc2
Plxnd1	Lzts3	Ndufb10		Tshz2
Xpo5	Dnmt1	Nabp2		Parp1
Katnbl1	Abca5	Dock10		Sez6l
Pcdhb16	Snrnp70	Ppp1r10		Insig2
Bud31	Cntn2	Vps39		Mospd1
Trub1	Kdm6b	Exoc4		BC005624
Exosc1	Paxbp1	Taok3		Fzd1
Ndufb8	Bri3bp	Dctn2		Aox3
Zbtb16	Tagln2	Gm14295		Ppid
Mea1	Iqsec2	Kctd6		Rsbn1
Gm14326	Snx1	Tsc2		Ago3
Casp9	Timm17a	Vps29		Rufy2
Commd10	Zfp799	Brd7		Scmh1
Scfd1	Upf3b	Ndufb4		L2hgdh
Bcan	Cntn3	Brd8		Kcnd2
Tomm7	Eri1	Zfp354c		Abca2
Brpf1	Csnk2b	Lsm12		Hid1
Ankrd29	Asah2	Trip4		5830417I10Rik
Vegfb	Denr	Ccdc25		Slitrk3
Fam135b	Myo10	Tdrp		Rad50
Kmt2b	Gm10845	Uqcr10		Copz1
Mob3c	Rai1	Epdr1		Zdbf2
Trmt6	Kcnip2	Prdx5		Asgr1
Rbm12b1	Prickle1	Jarid2		Naa60
Cbx1	AI504432	Akap8		Prkag2
Erbb4	Lyrm9	Psmc6		Klhl13
Ndufa3	Pfdn5	B230217C12Rik		Uchl1
Adam19	Rbbp5	Sik2		Acsl6
Nsun3	Arl6	Gramd1b		Pitpnm3
Wdr19	Arhgef3	Tmem50b		Dock7
Pin4	Mrpl30	Kif13a		Glrx
Ralgapa2	Acaca	Neto2		Leo1
Ltbp3	Chst11	Smc5		Xrn1
Zfp952	Mtx2	Ift74		Vldlr
Acyp2	Brox	Ypel3		Lmo7
Kdsr	Srsf6	Prkg1		Lrp1b
Gm19757	Trib1	Lrrc57		Ttc9c
Ostc	Esco1	Lrrfip2		Nup214
Ints1	Lrrcc1	Mpp1		Sesn3
Sptssb	Slc25a17	Vopp1		Ube3c
Atg5	Mbtd1	Gpr155		Gpr88
Acsbg1	Comt	Phf20l1		Pip4k2c
Slc25a27	Asah1	Clk4		Ksr2
Utp20	Dhrs1	Mobp		Bnip3
Pml	Dscam	Rabif		Esd
Crcp	Nqo2	Nwd2		Irs1
Dennd1b	Ndufa12	Scn3a		Cnrip1
Tnnt2	Ino80c	Gnaz		Ppfibp1
Zdhhc6	Myef2	Tomm34		Srgap2
Rpl7l1	Pcgf3	Ccdc90b		Bod1
Cep97	Snrpb2	Tpd52		Nf2
Hpcal1	Grm3	Ambra1		Kat2b
Thap11	Klf10	Cops8		Armcx4
Nosip	Gabra5	Mmadhc		Rrbp1
Pla2g4a	Speg	Nexn		Bcr
R74862	Osbp2	Plekhb1		Arl15
Litaf	Serpinb6a	Agfg1		Atg2b
Rcsd1	Gcsh	Sema6a		Zfp804a
D6Wsu163e	Prkd3	Neurod2		B3gat1
Erlin1	Mrpl16	Hmgb3		Napa
Sgsm1	Mrpl17	Dpf2		Samd8
Atr	Slc25a11	Ngef		Tns3
Eif2b5	Arhgef2	Eif1b		Calb1
Slc35f5	Dctn3	Ndufa13		Mid1ip1
Myo9b	Slc35e2	S100a10		Rapgef1
Zfp160	Rab22a	Tuba1c		Camkv
Csrp2	Pag1	Dcdc2c		Tank
Vps52	Agl	C2cd5		Avl9
Repin1	Arhgap1	Fnbp4		Drp2
Nup93	Rad54l2	Kcna4		Cgnl1
Ppp1r11	Sncaip	Rragc		Mtmr3
Zfp882	1110059E24Rik	Ube4a		Atm
E2f4	Mmp17	Sytl2		Elovl6
Rgs19	Tgfbrap1	Txndc9		Lrpprc
Tmem181c-ps	Mink1	Cep19		Tet3
Dcaf17	Tecpr2	Kcnh5		Eno1b
Setdb1	Tjp2	Ufl1		Pdcd10
Vmn1r58	Arl3	Cltb		Gapvd1
2810004N23Rik	1810037I17Rik	Rnf185		Hapln4
Adra1a	Zfp518a	Atxn7		Pdap1
Intu	Ttll1	Vps28		Camkk2
Trmt61a	Stat3	Map7		Tceal5
Lemd3	Rbm33	Ctdnep1		Prrc1
Nup133	Dgkh	Galnt13		Ldb2
Nkd2	Ndufab1	Fam135a		Edem3
Gm1976	Coq10b	Akirin1		Scd1
Trap1	Lamtor3	Mtcl1		Fat4
Lyrm7	Nudc	Cyb5r4		Ankfy1
Mrpl9	Sdhb	Dcx		Txnl4a
Scap	Ndufb6	Kif21b		Atpaf1
Snrpe	Chmp2a	Cc2d2a		Zmym3
Ccdc39	Sugt1	Trappc9		Gbf1
Mief1	Nrp2	Tspyl5		Unc79
Babam1	Prpf39	Vti1b		Lhfpl4
Wdr45b	Grik3	Fhl2		Jun
Slc35e3	Psd	Ppp2r5a		Aspa
G2e3	Prdm6	Ppa1		Cops5
Pes1	Zfand6	Numa1		Zc3h7b
Ehmt1	Pard6g	Adcy2		Cops4
Rbm12b2	Samhd1	Tbc1d9		Mllt6
Ybey	Dusp8	Ifnar1		BC031181
Zfp960	Megf11	Sqle		Psmb1
Pisd	Zdhhc3	Sh3rf3		Mtx3
Mrpl48	Slc35f3	Maml2		Dtd1
Hcfc1r1	Chchd10	Smad1		Shprh
Tbce	Ampd3	Adam12		Triobp
Fam124a	Ndufa5	Prelid1		Tenm4
Galnt16	Ndufb11	Adam10		Kcnd3
Rbmx2	Slc8a2	Fndc3b		Clmn
Wiz	Wnt4	Cab39l		Tox4
Tmem69	Tle1	Lamp5		Sacm1l
Ccnl2	1810055G02Rik	Ahsa1		Wipf1
Agk	Klhl34	Lzts3		Ddhd2
Jkamp	Kcnj2	Ilf3		Pcp4l1
Zbtb39	Ythdc2	Dnmt1		Rpl27
Eid2b	Prr13	Abca5		Eml5
Susd4	Acp2	Snrnp70		Cxxc1
Mmab	Psmc3	Cntn2		Kcnc2
Gm5069	Irgm2	Kdm6b		Ufm1
Ndst3	Ube2l6	Paxbp1		Tsc1
Banf1	Capn5	Arhgap23		Arpc1b
Mbd3	Usp29	Trappc12		Ttc1
Cdc14b	Zfp236	Bri3bp		Insr
Cpm	Suclg2	Tagln2		Kcnab2
Ttc21b	Phtf1	Gatad2a		Lrrc4
Coa3	Sae1	Iqsec2		Dbndd2
Mdp1	Nefh	Snx1		Cct4
Adamts1	Serpinf1	Timm17a		Trp53
Rpgr	Ubxn6	Zfp799		Ssbp3
Sord	Atp7a	Usp37		Raver1
Ltbp1	Epg5	Upf3b		Mtmr4
A330023F24Rik	Celf3	Cntn3		Nlgn3
Atp8b2	Prpf6	Eri1		Lifr
Gart	Psma1	Csnk2b		Rnf216
Golga7b	Kcnt2	Asah2		Cox7a2
Cry1	Armcx2	Denr		Heyl
Gstm7	Timm8b	Stmn3		Creb3l2
Gm10389	Kcnq3	Myo10		Copg2
Gfra4	Kcnq2	Gm10845		Dio2
Acvr1	Vps4a	Rai1		Aldh6a1
Myo16	Rsbn1l	Kcnip2		Fus
Cndp2	Zfand3	Nup88		Itgav
Pmvk	Plxna1	Gxylt1		Oxsr1
Zfp40	Csmd3	Prickle1		Anapc16
E2f5	Tfrc	Swi5		Lrrc8b
Prkg2	Gng11	AI504432		Pwwp2a
Emp2	Apbb1	Rbbp5		Ilk
Xkr4	Rassf3	Arl6		Dcun1d5
Clybl	Kdm4c	Arhgef3		Trappc1
Phka1	Dgke	Mrpl30		Mon1b
Eml6	Zc3hav1	Ets2		Lamtor5
Nfs1	Zfp46	Acaca		Unc13c
Sema3e	Gjc3	Chst11		Peli1
Sgpl1	Ppip5k1	Mtx2		Tial1
Zfp746	Glod4	Brox		Sat1
Ikbkb	Pgap1	Srsf6		Pfkfb2
Eif3k	Ust	Lrrcc1		Mpv17
Asxl3	Nploc4	Mbtd1		Osgin2
Rnf217	Usp48	Comt		Srp68
Pcsk5	Trp53bp1	Dhrs1		Tomm22
Vcan	Por	Dscam		Bbip1
Col4a2	Stat1	Nqo2		Rap2b
Leng1	Luc7l	Ndufa12		Psmd6
Ccdc141	Tenm1	Ino80c		Myo1b
Arl16	Rab5a	Tmem88b		Pdcd6
Zfp1	Cdc42se1	Ctps2		Trp53bp2
Lpl	Lamtor1	Akap17b		Lrba
9130024F11Rik	Serac1	Pcgf3		Gulp1
Zfand1	Sptb	Grm3		Rpgrip1l
Arhgef28	Heatr5b	Klf10		Nxf1
Ahr	Rasgef1b	Speg		Chst1
Lrch2	Anapc4	Brsk2		Nt5dc3
Pcdhb18	Birc2	Rab9		Dapk1
Timmdc1	Vwa5a	N6amt1		Ift57
Ncapd3	Haus2	Arhgap12		Rilpl1
Zfp772	Tmtc3	Ndufc1		Slc35a4
Mgat5	Cds1	Stk3		Taf2
Ccdc88c	Msl3	Gcsh		Emd
Bdnf	B3galt2	5031439G07Rik		Mpc2
Lrch1	Dr1	Mrpl17		Dnajc9
Med24	Maea	Mrps14		Dusp14
Plekhg5	Snx14	Slc25a11		Ccp110
Cinp	Ntan1	Arhgef2		Rif1
Ehbp1l1	Cops3	Dctn3		Limch1
Nrbf2	Ppp1ca	Zmat4		Syap1
Rnf8	B3glct	Pag1		Tnks
H2-T23	Zdhhc20	Smarca1		Kat7
Nfrkb	Trappc11	Agl		Dnajb11
Glt8d1	Dip2a	Med21		Arrdc3
Pigr	Phlpp2	Stard8		2900026A02Rik
Smug1	Ryr3	Arhgap1		Per3
Abi3bp	Vamp5	Rad54l2		Gabra4
Aen	Dagla	Mettl16		Kdm5b
Mrps15	Fez2	1110059E24Rik		Lrrk2
Snf8	Grm1	Mmp17		Mrpl42
Dnajb14	Kcnt1	Dym		Dhx57
Mrpl21	Strn4	Cpsf6		Gon4l
Ift88	Zfp280c	Unc50		Emc3
Me3	Rab43	Mink1		Esyt2
Stxbp2	Trim66	Tecpr2		Trappc10
Hap1	Immp1l	Tjp2		Rlf
Rnf141	Ndufa2	Sar1b		Pisd-ps1
Rab13	Eci2	1810037I17Rik		Exoc2
Scn7a	Ddx39b	Zfp518a		Ostf1
Pde1c	Mmp16	Ttll1		Kat2a
Igf2bp3	Zxda	Zfp326		Gna11
Tac1	Zyx	Rbm33		Ascc3
Lyar	Dnajb2	Rasl11b		Slc44a1
Kxd1	Cox6b1	Dgkh		Cntnap1
Fkbp1b	Plekha5	Ndufab1		Yap1
Bok	Cnot3	Gpx8		Isca2
Tsen34	Rpe	Lamtor3		S100a6
Arl5b	Ctsa	Nudc		Dnajb5
Siah2	Idh1	Eef1a2		Scaf8
Myo5b	Ntng1	Scn1b		Fkbp4
Amer1	Cldn12	Sdhb		Rcan1
Atp13a2	Ttll5	Ndufb6		Sulf1
Ddx25	Hexim1	Rnf24		Gm3893
Sorcs3	Erlin2	Chmp2a		Rusc1
Med23	Trerf1	Sugt1		Fnip1
Kcnj16	Eif3g	Nrp2		Ndufb10
Ftx	Mctp1	Prpf39		Nabp2
Adamts3	Slitrk2	Grik3		Elf1
Prr3	Wdr11	Pard6g		Dock10
Aamdc	Cyp26b1	Samhd1		Ppp1r10
Reep6	Pou3f3	Dusp8		Vps39
Mnat1	Slc20a1	Psmb4		Exoc4
Polr2c	Stard13	Zdhhc3		Taok3
Ndufb7	Znfx1	Mtf2		Dctn2
Entpd7	Mrpl39	Nap1l4		Gm14295
Simc1	Slbp	Chchd10		Kctd6
Ptpmt1	Phax	Ndufa5		Tsc2
Maob	Vegfa	Ndufb11		Vps29
Kcnn3	Decr1	Zfp521		Brd7
Pigm	Hax1	Hibadh		AI597479
AI837181	Rhobtb2	Frmd4a		Ndufb4
Taf1b	Ebna1bp2	Tle1		Brd8
Inpp5k	Msrb3	Klhl34		Zfp354c
Uqcrq	Slc25a37	Kcnj2		Lsm12
Lzic	Mkx	Ythdc2		Fam76a
Taf10	Cdkn1a	Prr13		Ccdc25
Adamts13	Exd2	Ift81		Tdrp
Tmem199	Psmb2	Psmc3		Uqcr10
Fstl5	Arhgap33	Stx1a		Epdr1
Cacna1i	Ubxn1	Slc25a16		Idi1
Cdk10	Polr2g	Nedd8		Prdx5
Nudt16l1	Ugt8a	Capn5		Jarid2
Wsb1	Zswim8	Usp29		Akap8
Ndufaf3	Rhoj	Zfp236		Psmc6
Ptchd4	Herc6	Suclg2		B230217C12Rik
Smarcd3	Sod3	Sae1		Sik2
Slc35d1	Lrrtm4	Nefh		Gramd1b
Alg6	Dclre1c	Serpinf1		Tmem50b
Vps11	Scyl3	Ubxn6		Ggact
Taf5l	Shisa6	Atp7a		Neto2
Cog1	Vwa8	Epg5		Smc5
Col19a1	Ccdc91	Lsm14b		Ift74
Abcg4	Sipa1l3	Per1		Ypel3
Ulk3	Scrt1	Sarnp		Otud5
Grip1	Rptor	Pabpn1		Prkg1
Pign	Npas2	Psma1		Upf3a
Mylip	Smndc1	Zc3h7a		Flrt3
Bcl7b	Nomo1	Kcnt2		Midn
A330076H08Rik	Tcf7l1	Fez1		Lrrc57
Ints2	Itpr2	Armcx2		Lrrfip2
Lsm3	Aatk	Mgat4a		Mpp1
Ift22	Kcnb2	Timm8b		Vopp1
Nhlrc1	Tsg101	Kcnq2		Gpr155
Ppp2r3d	Med12l	Pkib		Phf20l1
Pxdn	Stx8	Vps4a		Abcb7
Hscb	Socs2	Rsbn1l		Clk4
Lrp12	Rbm34	Eif4e3		Mobp
Cxcr2	Rsrc1	Zfand3		Rabif
N4bp2l1	Rtca	Plxna1		Nwd2
Npr2	Mfn1	Csmd3		Scn3a
Ttbk1	Casp8	Tfrc		Gnaz
Coq10a	Cox14	Rassf3		Tomm34
Lama4	Med16	Kdm4c		Ccdc90b
Trim62	Acot13	Dgke		Ubtf
Cdkn1b	Higd2a	Zc3hav1		Ambra1
Cep70	Zzef1	Gjc3		Cops8
Plcg1	Kl	Ppp2r5d		Mmadhc
Asb3	Lingo2	Snx30		Nexn
Polr2k	Pigt	Synm		Plekhb1
Lig1	Smarcad1	Pgap1		Agfg1
Taldo1	Kcnj10	Ints4		Thra
Bbs7	Aldh2	Dennd1a		Sema6a
Tmem242	Mrpl27	Usp48		Neurod2
Psmd10	Cntn4	Zfp654		Hmgb3
Hmgcs2	Nsmce2	Trp53bp1		Dpf2
Dpm2	Reln	Por		Slit2
Ube2e1	Coro1b	Pik3c3		Ngef
Pgm2	Lrfn5	Luc7l		Eif1b
Cpsf1	Psmd4	Tenm1		Ndufa13
Fancm	Depdc5	Rab5a		Zcchc9
Anapc11	Frmd4b	Cdc42se1		S100a10
Nr1h2	Focad	Lamtor1		Tuba1c
Grm4	Cd24a	Dstyk		Dcdc2c
Loxl2	Commd6	Serac1		C2cd5
Usp49	Tfe3	Sptb		Fnbp4
Slc37a3	Zfp831	Sec24a		Kcna4
Naa16	Prkdc	Ints8		Rragc
Fbf1	Tia1	Heatr5b		Ube4a
Trim65	Abhd4	Syne2		Sytl2
Cul9	Zkscan16	Rasgef1b		Txndc9
Rp9	Zfp738	Hbs1l		Cep19
Tbc1d7	Eef1d	Anapc4		Kcnh5
E330020D12Rik	Fh1	Haus2		Ufl1
Cep85l	Rnf34	Tmtc3		Uap1
Dapp1	Brpf3	Klc2		Cltb
Pcdhac2	Nmt1	Cds1		Rnf185
Klhdc1	Aasdhppt	Msl3		Atxn7
Ets1	Pts	Mafb		Vps28
Ankrd63	Slc29a3	Dr1		Map7
Atg10	Xk	Maea		Ctdnep1
Nup205	Rbm12	Ntan1		Galnt13
1700113A16Rik	Grem2	Cops3		Igbp1
Zfyve21	Ptprm	B3glct		Fam135a
Skap2	Asnsd1	Zdhhc20		Akirin1
Exosc9	Paip2b	Setd1b		Cops6
Isg20l2	Mfhas1	Slc43a2		Mtcl1
Fam217b	Spock3	Trappc11		Cyb5r4
Rrp7a	Ptgdr	Dip2a		Dcx
Hmgb2	Dcaf12	Phlpp2		Kif21b
Mcee	Ndufa8	Ryr3		Cc2d2a
Pus10	Dcaf10	Vamp5		Trappc9
Zmym1	Bmyc	Dagla		Tspyl5
Szt2	Dlg5	Grm1		Vti1b
Atp9b	Sppl3	Nrip3		Fhl2
Sugp2	Cabin1	0610030E20Rik		Ppp2r5a
Recql	Pole4	Kcnt1		Ppa1
Slc4a7	Cetn2	Strn4		Numa1
Dtl	Cspg5	Zfp280c		Sult1a1
Apaf1	Gde1	Tmem9b		Adcy2
Xndc1	Arhgap18	Fbxo30		Tbc1d9
Arhgap28	Fbxl14	Trim66		Pcca
Tm9sf1	Kcnc3	Ndufa2		Ifnar1
Glmn	Eapp	Mau2		Lrrn3
Pip5k1a	Nup155	Fam216a		Sh3rf3
Fbn1	Ankrd44	Mrpl18		Maml2
Lrp4	Carm1	Ddx39b		Smad1
Tmem132d	Ankle2	Gng7		Adam12
Edc4	Rimbp2	Mmp16		Prelid1
Ak1	Ptcd3	Zyx		Adam10
Ednrb	Rwdd1	Cox6b1		Poldip3
Dis3	Atad2b	Plekha5		Fndc3b
Rab36	Gm5523	Cnot3		Cab39l
Polr3a	Map3k13	Ctsa		Pcyt1a
Hipk4	Ndufa1	Idh1		Lamp5
Il1rapl1	Xpa	Ntng1		Larp7
Nelfe	Yeats4	Rnf2		Ahsa1
Gbp9	Creb3l1	Ppp1r15b		Lzts3
Cdh9	Tle3	Syt5		Ppp1r12b
Dot1l	Asic2	Rpp14		Dnmt1
2700062C07Rik	Fbxo38	Col12a1		Abca5
Ppp1r8	Grik2	Erlin2		Snrnp70
Pnpt1	Rgs9	Trerf1		Cntn2
Llgl1	Becn1	Eif3g		Kdm6b
Shc3	Pgd	Mctp1		Paxbp1
Tmem104	Pxn	Pdrg1		Arhgap23
Tomm40l	Ajap1	Slitrk2		Trappc12
Gm5148	Hint1	Tbk1		Bri3bp
4933404O12Rik	C1qbp	Ccdc3		Tagln2
Ampd2	Dap	Ppa2		Gatad2a
Gpn1	Pkd1	Wdr11		Iqsec2
Ermard	St3gal1	Cyp26b1		Snx1
Drap1	Nwd1	Pou3f3		Timm17a
Cep95	Zfp830	Gnpat		Zfp799
Npas3	Micu2	Farp1		Usp37
Srfbp1	Zfp451	Timm8a1		Upf3b
Arhgap24	Sdhaf2	Slc20a1		Cntn3
Ccl19	Plekha2	Stard13		Dph3
Spata6	Ppard	Znfx1		Cpsf7
Clcn2	Cluh	Slbp		Eri1
Aatf	Bbs2	Ankrd27		Csnk2b
Ankrd13b	Akr1e1	Zfp386		Asah2
Kcnn2	Mob1b	Phax		Denr
Trappc2	Glis2	Vegfa		Stmn3
Cept1	Gstt3	Decr1		Myo10
Tmem67	Parp2	Hax1		Gm10845
Pdpr	Ccdc181	Rhobtb2		Rai1
Pou2f2	Ndnf	Cdkn1a		Kcnip2
Fbxw8	Wdr17	Exd2		Gxylt1
Dscaml1	Dcc	Ppp1r1b		Prickle1
Ano4	Snx25	Psmb2		Swi5
Map2k3	Hgsnat	Arhgap33		AI504432
Daxx	Omd	Tmem60		Lyrm9
Mrps26	Dbnl	Mrpl36		Pfdn5
Ndufa11	Mlxip	Ugt8a		Rbbp5
Dgkk	Mrps36	Zswim8		Atat1
Mettl6	Gtf3c3	Herc6		Arl6
Pygo2	Gkap1	Sod3		Arhgef3
Cnnm2	Lcorl	Lrrtm4		Mrpl30
Krba1	Nolc1	Dclre1c		Phf8
Abcc1	Prdx3	Vwa8		Acaca
Hapln1	Cacna1d	Ccdc91		Chst11
Lhfpl3	Cacna2d3	Ppip5k2		Mtx2
Vps45	Zfp65	Scrt1		Brox
Sf3b5	Tmem181b-ps	Rptor		Srsf6
Slc27a1	Gtf2h5	Npas2		Trib1
Coq4	Wdr33	Smndc1		Esco1
Pdlim1	Hook1	Nomo1		Lrrcc1
Vwa5b2	Zfhx2	Itpr2		Slc25a17
Ercc4	Zbtb24	Fem1c		Mbtd1
Fbxo27	Eogt	Tbp		Comt
Gpr107	Sra1	Aatk		Dhrs1
Inpp4b	Pde7a	Kcnb2		Dscam
Tyms	Inip	Mien1		Nqo2
Arhgap15	Spg11	Tsg101		Ndufa12
Mrpl12	Car11	Med12l		Ino80c
Zfyve28	Aip	Stx8		Myef2
Smim11	Alms1	Rbm34		Ctps2
Med8	Sidt1	Rsrc1		Akap17b
Rin1	Ndufa6	Rtca		Pcgf3
Gbp10	Nt5c3	Mfn1		Snrpb2
Lrrc45	Atg9a	Casp8		Grm3
Ap1s3	Tapt1	Ccdc97		Klf10
Camk1	Spred3	Cox14		Gabra5
Zfr2	Smpd4	Med16		Speg
Vasn	Uggt1	Acot13		Brsk2
Usp20	Tnrc18	Higd2a		Rab9
Ranbp3	Mcts1	Zzef1		Arhgap12
Nup188	Tceal3	Slc25a24		Ndufc1
Csgalnact1	Ext2	Smarcad1		Stk3
Cln8	Dimt1	Kcnj10		Gcsh
Tmco3	Ykt6	Nsmce2		Prkd3
Rfx4	Ufc1	Reln		Mrpl16
Jag1	Pard3	Uhrf2		Mrpl17
Nhlrc2	Ap3b2	Coro1b		Mrps14
Zfp759	Pik3c2b	Fahd1		Slc25a11
Dus3l	Igfbp4	Zfp131		Arhgef2
Snapc4	Ifitm1	Psmd4		Dctn3
Akr1b10	Igdcc4	Depdc5		Slc35e2
Tgtp1	Auh	Slc7a1		Rab22a
Tgtp2	Paqr8	Focad		Pag1
Trim12a	Vps25	Cd24a		Agl
Mvp	Ndufv3	Jazf1		Med21
Pak6	Rara	Commd6		Stard8
Gm20063	Zfp866	Rasa3		Arhgap1
Igtp	Tnk2	Tfe3		Rad54l2
Rimklb	Chchd3	Atp6v0e2		Mettl16
Ly96	Tob2	Zfp831		Sncaip
Snrpb	Tnr	Prkdc		1110059E24Rik
Arl2	Uty	Phf6		Mmp17
Il1rap	Rcor1	Ndufc2		Dym
Coa6	Dnajc1	Tia1		Cpsf6
Impdh2	Ptov1	Zkscan16		Unc50
Gm3002	Anapc13	Zfp738		Tgfbrap1
0610010K14Rik	Sptlc2	Fam210b		Mink1
Tubgcp4	Ino80	Rnf34		Tecpr2
Ift122	Spg21	Zfp369		Tjp2
Mms19	Zfp961	Pts		Knop1
Dnlz	Arhgef4	Bmp3		Arl3
Thap1	Nbas	Nucb2		1810037I17Rik
Tes	Zbtb6	Ptprm		Zfp518a
Ngdn	Macrod2	Asnsd1		Fbxl5
Zfp580	Psmd8	Tbcel		Ttll1
Nup85	Edrf1	Mfhas1		Stat3
Prcp	Pyurf	BC004004		Zfp326
Trnau1ap	Lmbr1	Ndufa8		Rbm33
Vps9d1	Zfp955a	Dcaf10		Rasl11b
Zfp418	Ppdpf	Bmyc		Dgkh
Gm14403	H2-T24	Dlg5		Ndufab1
Slc35b1	Neat1	Cabin1		Gpx8
Fam185a	Map6d1	Ptgfrn		Coq10b
Actl6a	Per2	Cetn2		Lamtor3
Abcb10	Uggt2	Cspg5		Wdr48
Sptbn4	Psmb5	Ssu72		Nudc
Kif13b	Ndufs7	Gde1		Eef1a2
Ttn	Nvl	1300002E11Rik		Sdhb
Gfm2	Bbs9	Arhgap18		Syf2
Eci1	Thada	Fbxl14		Ndufb6
Mipol1	Bag3	Eapp		Rnf24
Nme7	A730017L22Rik	Nup155		Chmp2a
P2ry12	Urod	Ankrd44		Sugt1
Tubgcp2	Dpy19l3	Carm1		Nrp2
Caml	Cisd1	Ankle2		Prpf39
Ube2s	Rasa2	Rbm8a		Grik3
Nudcd1	Elfn2	Rwdd1		Cers4
Kcnh3	Lrrk1	Aqr		Psd
Ephb1	Lrig2	Atad2b		Prdm6
Coasy	Cdc37	Srgap1		Pdzd4
Prkrip1	Fkbp8	Gm5523		Zfand6
Arhgap25	Klhl22	Map3k13		Pard6g
Agfg2	Sp100	Xpa		Samhd1
Pcdhb20	Utp15	Yeats4		Dusp8
Gpr75	Abca1	Creb3l1		Psmb4
Sorcs2	Trmt112	Lum		Zdhhc3
Coprs	Lrrc49	Fbxo38		Mynn
Gpr165	Gbp6	Grik2		Mtf2
Firre	Sox6	Rgs9		Gse1
Slx1b	Narf	Becn1		Chchd10
Tsen15	Bach1	Zcchc17		Ampd3
Klhl26	Ddx18	Ranbp1		Ndufa5
Igsf21	Med20	Ctr9		Ndufb11
Ephb6	Snrpg	Hint1		Slc8a2
Nhs	Gm6682	C1qbp		Zfp521
Dusp28	Jph3	Dap		Hibadh
Sdk2	Agrn	Npy1r		Frmd4a
Ppp1r14c	Bcl2l11	Pkd1		Wnt4
Mccc1	Pdk3	Zfp362		Tle1
Hspa12b	Asf1a	Nwd1		1810055G02Rik
Pomt2	Kcnj9	Zfp830		Klhl34
Nt5c	Josd1	Micu2		Kcnj2
Gtf2ird1	Tec	Zfp451		Ythdc2
4930570G19Rik	Rarb	Sdhaf2		Prr13
Gas8	Stat6	Plekha2		Cog6
Ppfibp2	Ica1l	Cluh		Psmc3
Rad52	Nxn	Bbs2		Stx1a
Cdk5rap2	Phka2	Bhlhe22		Nedd8
Mrps12	Daam2	Akr1e1		Ube2l6
Suv39h1	Ptpn2	5330434G04Rik		Capn5
Terf1	Mnt	Hmbox1		Usp29
