TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Rasal2	Akr1a1	Mat2a	Med8	Golgb1
Klf13	Pnisr	Lin7c	Klhdc8a	Arhgdia
Nrgn	Trio	Ubr5	Ecsit	B230219D22Rik
Celsr2	Srsf3	Nsg2	Acot11	Gng2
Ubr4	Ranbp3l	Slc4a4	Zfr2	Ssr3
Azin1	Cck	Klhdc2	Npnt	Gpbp1
Setx	Adam22	Necab1	Akr1b10	Rad23b
Ubl3	Pnn	Stmn2	Acss1	Cobl
Adam23	Ogt	Twsg1	Surf6	Gm17644
Rps15a	Rpl6	Ldha	Myl6b	Eif1
Jmy	Rrp1	Mapre1	Tango2	Pgk1
Fut8	Cfl2	Cs	L3mbtl2	Rnf7
Nemf	Prkar1b	Trp53inp2	Impdh2	Sod1
Aldoc	Stk39	Map1lc3b	Ddx20	Dnajb6
Sirpa	Nfasc	Baz1b	4930523C07Rik	Nrep
Scn1a	Pogz	Smg1	Prcp	Xpr1
Ktn1	Cds2	Chst2	Ttn	Atrn
Oasl2	U2surp	Mllt11	Adamts5	Stx12
Eif5a	Phlda1	Ttbk2	Lin7b	Etl4
Hspa4l	Plxna2	Dip2b	Tcf3	Iqsec1
Thoc2	Spop	Dhx9	Dnmbp	Ndfip1
Atp13a3	Ranbp2	Ncoa4	Ube2s	Wdfy3
Sel1l	Cacna2d1	Rbfox3	Cep112	Zfp488
Gabbr2	Cab39	Ap2m1	Agfg2	Rfx7
Ttc39b	Ran	Myl12b	Mir22hg	Hnrnpk
Pcdh10	Zfp36l1	Ppfia2	Sorcs2	Ckap5
Pnrc1	Naa50	Hipk3	Sh3rf2	Ctsb
Dtna	D430041D05Rik	Bag1	Igsf21	Pip4k2a
Scai	Med14	Copa	Hps5	Mga
Mbp	Rbp1	Rsrc2	Zfp687	Ctnna1
Adi1	Ube2h	Akr1a1	4930570G19Rik	Serp1
Sestd1	Ehd3	Pnisr	Ppfibp2	Hnrnpr
Zmat2	Trim33	Trio	Hebp1	Marf1
Plcb4	Syn2	Arfgef1	Bzw2	Ptges3
Rheb	Ncald	Abr	Fads3	Tacc1
Ube2q1	Fhl1	Cck	Iglon5	Slc12a5
Ubqln1	Ewsr1	Adam22	Pcdhga10	St8sia3
Vps13b	Smap2	Pnn	Uxs1	Wipf3
Ppp2cb	Kcna1	Ogt	9030624G23Rik	Tubb5
Car2	Sort1	Cfl2	Dmap1	Ralgapa1
Rab12	Snca	Prkar1b	Msra	Cetn3
Serpinb9	6330403K07Rik	Stk39	Cemip	Lin7c
Ralyl	Ypel5	Nfasc	Tspan14	Ubr5
Grin2b	Herc3	Pogz	Ces2g	Slc4a4
Shank2	Ralgapb	Cds2	Dzip1l	Klhdc2
Cox7a2l	Smc6	U2surp	Mccc2	Lpgat1
Zfc3h1	Bnc2	Phlda1	9130221H12Rik	Necab1
Pde10a	Pea15a	Plxna2	Ptcd1	Stmn2
Kdm5a	Atp8a1	Spop	Olig2	Twsg1
Ccdc47	Chchd2	Snx12	Gmpr2	Ldha
Baalc	Ttll7	Fundc2	5031425E22Rik	Mapre1
Pcdh17	Clip1	Pfn2	Helb	Cs
Cnot6l	Ccdc82	Ranbp2	Amer3	Naca
Disp2	Ifitm3	Map2k1	Ascl1	Myl6
Kcnc1	Ttyh1	Cacna2d1	Vstm2b	Trp53inp2
Osbpl6	Dcn	Ran	Upp2	Map1lc3b
Tenm2	Kcnip3	Naa50	Mob1a	Baz1b
Plxna4	Ube2b	Med14	Xrcc6	Smg1
Dbi	Rsf1	Rbp1	Swsap1	Chst2
Psme1	Gad1	Ube2h	Scrt2	Mllt11
Slc7a14	Zfp292	Osbpl8	Nfatc2	Rpl10
Idh3b	Uaca	Ehd3	Rasl10a	Ttbk2
