XFTU	SFTU	SFRC	SFNC	SFRN
Camk1g	Fam98c		Ppp6r1	
Ptgs1	Chrna7	Tmem194		
Klhdc8b	2900079G21Rik	Plcxd2	Prkra	
Them4	Mapk3	Cckbr	Phgdh	
Tmsb4x	Scrn1	Itga4	Slco2a1	
Lrrn2	Cyfip2	Lats2	Cwh43	
Nuf2	Gamt	Myh1	Fam160a2	
H2-Ke6	Aldh1a3	Top1mt	Pard3	
Ing2	Gabarap	Ripk4	Ap3s2	
Cxxc5	Ppl	Slc22a1	Adrbk1	
Fam160a2	Inpp4b	Itpr1	Rasgrf1	
Adamts14	Rgs12	Cdkn1a	Dnmt3a	
Eri3	Enox2	Moxd1	Tep1	
